Date,Open,High,Low,Close,Adj Close,Volume
2025-08-13,204.4,204.85,198.07,202.45,202.45,19573000
2025-08-14,201.98,204.84,201.75,203.24,203.24,17777100
2025-08-15,204.14,206.74,201.51,204.33,204.33,21111400
2025-08-18,204.49,205.55,202.83,203.71,203.71,13000200
2025-08-19,203.32,203.71,200.36,201.91,201.91,13476600
2025-08-20,201.11,201.59,196.9,199.62,199.62,13971700
2025-08-21,200.15,202.78,199.83,200.05,200.05,11768900
2025-08-22,203.38,208.63,201.55,206.13,206.13,25723700
2025-08-25,206.41,210.49,205.36,208.56,208.56,22788800
2025-08-26,207.78,207.87,205.86,207.36,207.36,23051000
2025-08-27,205.87,208.97,205.8,207.62,207.62,15249000
2025-08-28,207.25,212.29,207.01,211.77,211.77,20915700
2025-08-29,210.67,214.73,210.37,212.92,212.92,24682200
2025-09-02,208.39,211.76,206.37,211.39,211.39,28900100
2025-09-03,225.84,231.14,224.48,230.44,230.44,72250300
2025-09-04,229.5,232.11,226.11,232.0,232.0,32196000
2025-09-05,232.0,235.46,231.72,234.5,234.5,26127700
2025-09-08,235.33,237.93,233.27,233.7,233.7,23128800
2025-09-09,233.73,240.12,232.92,239.47,239.47,22854800
2025-09-10,238.78,241.61,237.64,239.09,239.09,19990100
2025-09-11,239.67,242.1,236.12,240.31,240.31,21308600
2025-09-12,240.33,241.95,238.03,240.91,240.91,14536600
2025-09-15,244.66,252.26,244.5,251.27,251.27,29935200
2025-09-16,251.84,252.73,249.23,250.93,250.93,24493500
2025-09-17,250.97,251.46,246.1,249.36,249.36,20491300
2025-09-18,251.37,253.64,249.62,251.84,251.84,21166400
2025-09-19,252.9,256.2,251.57,254.74,254.74,41616800
2025-09-22,254.28,255.81,250.32,252.39,252.39,20079000
2025-09-23,253.16,254.27,250.6,251.85,251.85,17521100
2025-09-24,251.66,252.47,246.74,247.35,247.35,16958500
2025-09-25,244.36,246.83,241.18,246.09,246.09,17379800
2025-09-26,247.3,249.63,246.16,246.7,246.7,16594600
2025-09-29,247.79,251.16,242.72,243.88,243.88,23157200
2025-09-30,242.58,243.2,239.1,243.07,243.07,22541200
2025-10-01,240.71,246.67,238.73,245.06,245.06,23967700
2025-10-02,245.16,247.15,242.63,245.95,245.95,20657500
2025-10-03,244.75,246.63,242.0,245.97,245.97,19941400
2025-10-06,245.3,251.71,245.21,251.02,251.02,18309000
2025-10-07,248.44,251.06,246.33,246.65,246.65,13811200
2025-10-08,245.72,246.78,244.61,244.98,244.98,14136500
2025-10-09,244.58,245.07,239.21,241.74,241.74,19375700
2025-10-10,241.69,244.36,236.22,237.03,237.03,22449100
2025-10-13,240.56,244.51,240.28,244.16,244.16,12465000
2025-10-14,241.28,247.54,240.71,245.71,245.71,17705400
2025-10-15,247.6,252.27,246.31,251.22,251.22,16048100
2025-10-16,251.97,257.08,250.18,251.39,251.39,18946000
2025-10-17,250.86,254.38,248.1,253.29,253.29,17653800
2025-10-20,254.73,257.38,254.1,256.52,256.52,13726800
2025-10-21,254.75,254.88,244.19,250.85,250.85,27836400
2025-10-22,254.51,256.68,249.96,252.04,252.04,19650200
2025-10-23,253.2,255.36,252.27,253.23,253.23,13241300
2025-10-24,256.8,262.0,255.6,260.0,260.0,18406000
2025-10-27,264.84,270.27,264.42,269.4,269.4,22987700
2025-10-28,269.67,270.85,266.65,267.9,267.9,20101200
